Constituents,Symbol,Macro-Economic Sector
ICRA LTD.,532835,Financial Services
IDBI BANK LTD.,500116,Financial Services
IDEAFORGE TECHNOLOGY LIMITED,543932,Industrials
IDFC FIRST BANK LIMITED,539437,Financial Services
IFB INDUSTRIES LTD.,505726,Consumer Discretionary
IFCI LTD.,500106,Financial Services
IIFL CAPITAL SERVICES LIMITED,542773,Financial Services
IIFL FINANCE LIMITED,532636,Financial Services
IMAGICAAWORLD ENTERTAINMENT LI,539056,Consumer Discretionary
Indegene Limited,544172,Healthcare
INDIA CEMENTS LTD.,530005,Commodities
INDIA GLYCOLS LTD.,500201,Fast Moving Consumer Goods
India Pesticides Limited,543311,Commodities
India Shelter Finance Corporat,544044,Financial Services
INDIA TOURISM DEVELOPMENT CORP,532189,Consumer Discretionary
IndiaMART InterMESH Limited,542726,Consumer Discretionary
INDIAN BANK,532814,Financial Services
Indian Energy Exchange Limited,540750,Financial Services
INDIAN METALS & FERRO ALLOYS L,533047,Commodities
INDIAN OIL CORPORATION LTD.,530965,Energy
INDIAN OVERSEAS BANK,532388,Financial Services
Indian Railway Catering and To,542830,Consumer Discretionary
Indian Railway Finance Corpora,543257,Financial Services
Indian Renewable Energy Develo,544026,Financial Services
Indigo Paints Limited,543258,Consumer Discretionary
INDO COUNT INDUSTRIES LTD.,521016,Consumer Discretionary
INDOCO REMEDIES LTD.,532612,Healthcare
IndoStar Capital Finance Limit,541336,Financial Services
INDRAPRASTHA GAS LTD.,532514,Energy
INDRAPRASTHA MEDICAL CORP.LTD.,532150,Healthcare
INDUS TOWERS LIMITED,534816,Telecommunication
INDUSIND BANK LTD.,532187,Financial Services
INFO EDGE (INDIA) LTD.,532777,Consumer Discretionary
INFOSYS LTD.,500209,Information Technology
INGERSOLL-RAND (INDIA) LTD.,500210,Industrials
INNOVA CAPTAB LIMITED,544067,Healthcare
INOX GREEN ENERGY SERVICES LIM,543667,Services
INOX India Limited,544046,Industrials
